strId              count           possiblyCount
75140            79            672784            
59800            2            672784            
45604            3324            672784            
24960            1            39233            
35256            92            39233            
624            192            39233            
47800            1            39232            
46384            51            672784            
32604            160            672784            
59436            10            39233            
6136            4470            672784            
46229            2            672783            
17            13838            672785            
19344            47            39233            
46716            1            672783            
14352            42            672784            
312            546            672784            
18876            157            39233            
11700            47            39233            
79248            6            39233            
131144            721            672784            
48050            26            39232            
46809            1            39232            
1300            27            39233            
42224            4            39233            
2444            40            672784            
79560            1            39233            
36868            852            672784            
64688            2182            672784            
32812            862            672784            
12220            1            672784            
130624            1679            672784            
48724            26            39233            
20228            13            672784            
22152            12            39233            
48279            10            672783            
46598            132            672783            
43576            1            672784            
8788            278            39233            
131508            1            672784            
48594            2            39232            
56992            2            39233            
46142            12            672783            
46            16148            672785            
38792            96            672784            
73320            31            672784            
50856            4            672784            
31928            15            672784            
54340            34            39233            
126932            61            672784            
63388            76            672784            
28860            5            39233            
46089            14            672783            
46827            1            672783            
46035            1            672783            
70044            5            39233            
51428            5            39233            
45344            13            39233            
56004            88            672784            
24856            66            39233            
60632            8            39233            
21684            50            672784            
39988            2966            672784            
14            15920            672785            
32864            27            672784            
8216            553            672784            
37908            1829            672784            
78260            259            672784            
6396            508            672784            
32448            12            39233            
468            185            39233            
2704            732            672784            
52832            18            672784            
21996            50            39233            
11648            17            39233            
2600            7738            672784            
46815            2            39232            
48591            2            672783            
47944            7            672784            
10244            36            672784            
74828            40            39233            
24492            66            39233            
54704            638            672784            
28            9            39234            
51636            1            39233            
49502            1303            672783            
47794            6            672783            
53976            364            672784            
43264            381            39233            
13988            170            39233            
50544            66            39233            
43212            33            672784            
48061            162            672783            
26364            46            672784            
89596            1            672784            
45812            4            39233            
49036            204            672784            
49341            1            39232            
46677            67            672783            
51324            1795            672784            
45            806            672785            
34112            191            672784            
63388            3            39233            
42744            81            39233            
19344            655            672784            
43108            20            39233            
5616            194            39233            
74776            8            672784            
37440            447            39233            
48470            6            39232            
21788            1            672784            
50544            1348            672784            
85124            455            672784            
30836            10            672784            
87256            54            39233            
28860            20            672784            
6916            1            39233            
10348            2            39233            
21424            28            39233            
10348            79            672784            
48588            42            672783            
13208            547            672784            
34944            2            672784            
22776            2            39233            
46616            1            672783            
3848            1            39233            
48360            2981            672784            
32136            2337            672784            
133172            1            39233            
48678            55            672783            
78572            227            672784            
27196            16            39233            
85332            8            39233            
11024            2            39233            
14300            2277            672784            
32968            5            672784            
48051            12            672783            
82420            1            672784            
53196            21            39233            
4            11168            672785            
50336            118            39233            
127452            1            672784            
29848            228            672784            
133640            1            672784            
46812            4            672783            
780            3273            672784            
86008            1            672784            
51012            36            39233            
5772            21            39233            
64740            366            672784            
21944            164            672784            
4368            16            39233            
51116            30            672784            
46646            8            672783            
2340            103            672784            
77948            1            39233            
1664            30            39233            
40196            99            39233            
82992            1            39233            
48621            58            672783            
77064            5            672784            
48724            477            672784            
48002            181            672783            
46051            1            672783            
10            35789            672785            
40716            3948            672784            
11856            8            39233            
936            89            39233            
48582            100            672783            
36192            18            39233            
127297            1            39232            
76596            24            672784            
85280            326            672784            
47748            1            39232            
35724            1            39233            
20            30589            672785            
83252            269            672784            
36972            19            672784            
78208            27            672784            
19188            54            672784            
34112            14            39233            
46448            2            672783            
45968            3            39233            
57980            9            672784            
127816            3            672784            
126984            1            672784            
23816            656            672784            
127296            119            672784            
42380            10844            672784            
38            6            672785            
11492            61            672784            
48366            15            672783            
38064            25            672784            
47820            3            672783            
51636            76            672784            
36764            18            39233            
27144            4            39233            
46301            23            672783            
34684            39            672784            
22204            94            672784            
46134            95            672783            
48376            687            672783            
50958            40            39232            
115804            2            672784            
50745            4            39232            
24076            10            39233            
6            42472            672785            
46257            1            672783            
121940            16124            672784            
50955            2            672783            
127312            1            39232            
37180            393            39233            
74360            9            39233            
53924            18            39233            
33488            32            39233            
48063            47            672783            
24752            9            39233            
79352            1            39233            
11            6202            672785            
5460            14            672784            
69264            756            672784            
7904            3291            672784            
22724            340            672784            
22568            8            672784            
50952            4            39232            
45396            196            39233            
87204            48            672784            
45032            8            672784            
42952            19            39233            
54756            43            672784            
34736            1            672784            
9256            14            672784            
47846            7            672783            
46181            137            672783            
48730            16            672783            
71916            3            39233            
75972            1            39233            
2756            16            672784            
45708            3            39233            
79404            5            39233            
44            440            39234            
112424            1            672784            
27820            16            39233            
79196            505            672784            
48282            2            672783            
42068            587            672784            
9            529            39234            
46189            1            672783            
56316            7            672784            
129012            2            672784            
85176            4            39233            
87464            271            39233            
37960            419            39233            
131664            1005            672784            
48272            3            39232            
50024            80            672784            
51            3318            672785            
45500            9            39233            
45292            1            39233            
48932            7            39233            
25272            67            672784            
47528            1            672784            
42276            7            39233            
48641            5            39232            
48822            31            672783            
48653            1            672783            
48269            534            672783            
48672            166            672784            
87256            1061            672784            
46177            1            672783            
6500            25            672784            
82056            4            672784            
42276            124            672784            
38376            363            672784            
46026            1            39232            
48002            10            39232            
48497            9            672783            
48205            2            39232            
13936            3802            672784            
48445            7            672783            
51584            1            39233            
17            851            39234            
64428            49            39233            
59124            2            39233            
48633            23            672783            
33540            71            39233            
31460            90            672784            
61048            18            39233            
75244            495            672784            
50128            172            672784            
20124            1            39233            
56212            403            672784            
61620            110            672784            
46823            2            39232            
35516            36            672784            
34996            2203            672784            
6032            7            39233            
51168            56            39233            
40196            1018            672784            
24856            1783            672784            
20852            4            672784            
3588            767            672784            
132080            7            672784            
28912            848            672784            
83460            29            672784            
131248            207            39233            
53820            194            672784            
86268            93            672784            
49400            6            39233            
12272            9            672784            
48059            69            672783            
47630            3            39232            
21476            22            39233            
59020            39            672784            
131872            13            672784            
50956            8            672783            
37596            11            672784            
12324            231            672784            
31            1628            672785            
19864            3            39233            
43316            51            672784            
26572            1            672784            
29224            260            39233            
11492            5            39233            
55536            3            39233            
46802            6            672783            
48053            55            672783            
21164            90            672784            
4108            4            39233            
55432            47            39233            
34            70            672785            
40560            296            39233            
65936            8            672784            
